DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2004,10421137,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2005,10478617,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2006,10547958,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2007,10625700,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2008,10709973,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2009,10796493,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2010,10895586,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2011,11038264,b
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2012,11106932,b
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2013,11159407,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2014,11209057,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2015,11274196,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2016,11331422,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2017,11375158,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2018,11427054,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2019,11488980,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2020,11538604,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2021,11586195,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2022,11685814,p
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2001,8009142,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2002,7837161,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2003,7775327,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2004,7716860,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2005,7658972,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2006,7601022,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2007,7545338,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2008,7492561,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2009,7444443,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2010,7395599,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2011,7348328,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2012,7305888,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2013,7265115,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2014,7223938,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2015,7177991,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2016,7127822,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2017,7075947,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2018,7025037,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2019,6975761,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2020,6934015,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2021,6877743,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2022,6465097,b
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CH,2001,7229854,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CH,2002,7284753,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CH,2003,7339001,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CH,2004,7389625,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CH,2005,7437115,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CH,2006,7483934,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CH,2007,7551117,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CH,2008,7647675,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CH,2009,7743831,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CH,2010,7824909,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CH,2011,7912398,b
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CH,2012,7996861,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CH,2013,8089346,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CH,2014,8188649,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CH,2015,8282396,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CH,2016,8373338,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CH,2017,8451840,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CH,2018,8514329,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CH,2019,8575280,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CH,2020,8638167,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CH,2021,8704546,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CH,2022,8775760,p
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CY,2001,701544,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CY,2002,709630,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CY,2003,718307,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CY,2004,727980,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CY,2005,738540,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CY,2006,750965,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CY,2007,767125,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CY,2008,786632,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CY,2009,808035,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CY,2010,829446,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CY,2011,850881,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CY,2012,863945,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CY,2013,861939,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CY,2014,852504,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CY,2015,847664,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CY,2016,851561,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CY,2017,859519,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CY,2018,870068,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CY,2019,881952,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CY,2020,892006,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CY,2021,900356,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CY,2022,912703,p
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CZ,2001,10216605,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CZ,2002,10196916,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CZ,2003,10193998,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CZ,2004,10197101,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CZ,2005,10211216,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CZ,2006,10238905,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CZ,2007,10298828,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CZ,2008,10384603,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CZ,2009,10443936,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CZ,2010,10474410,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CZ,2011,10496088,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CZ,2012,10510785,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CZ,2013,10514272,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CZ,2014,10525347,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CZ,2015,10546059,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CZ,2016,10566332,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CZ,2017,10594438,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CZ,2018,10629928,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CZ,2019,10671870,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CZ,2020,10697858,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CZ,2021,10505772,b
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,CZ,2022,10672118,b
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DE,2001,82349925,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DE,2002,82488495,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DE,2003,82534176,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DE,2004,82516260,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DE,2005,82469422,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DE,2006,82376451,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DE,2007,82266372,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DE,2008,82110097,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DE,2009,81902307,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DE,2010,81776930,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DE,2011,80274983,b
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DE,2012,80425823,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DE,2013,80645605,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DE,2014,80982500,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DE,2015,81686611,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DE,2016,82348669,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DE,2017,82657002,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DE,2018,82905782,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DE,2019,83092962,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DE,2020,83160871,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DE,2021,83196078,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DE,2022,83797985,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DK,2001,5358783,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DK,2002,5375931,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DK,2003,5390574,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DK,2004,5404523,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DK,2005,5419432,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DK,2006,5437272,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DK,2007,5461438,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DK,2008,5493621,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DK,2009,5523095,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DK,2010,5547683,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DK,2011,5570572,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DK,2012,5591572,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DK,2013,5614932,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DK,2014,5643475,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DK,2015,5683483,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DK,2016,5728010,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DK,2017,5764980,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DK,2018,5793636,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DK,2019,5814422,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DK,2020,5831404,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DK,2021,5856733,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,DK,2022,5903037,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EE,2001,1388115,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EE,2002,1379350,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EE,2003,1370720,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EE,2004,1362550,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EE,2005,1354775,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EE,2006,1346810,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EE,2007,1340680,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EE,2008,1337090,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EE,2009,1334515,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EE,2010,1331475,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EE,2011,1327439,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EE,2012,1322696,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EE,2013,1317997,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EE,2014,1314545,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EE,2015,1315407,b
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EE,2016,1315790,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EE,2017,1317384,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EE,2018,1321977,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EE,2019,1326898,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EE,2020,1329522,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EE,2021,1330932,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EE,2022,1348840,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EL,2001,10862132,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EL,2002,10902022,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EL,2003,10928070,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EL,2004,10955141,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EL,2005,10987314,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,EL,2006,11020362,
